Comment,Designator,Footprint,LCSC,Quantity
C113280 - SN74LVC573APWR,U17,C113280-TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C113280,1
C114502 - M24C02-FDW,U14,C114502-SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C114502,1
10u 16V Tant,"C20,C60",C119051-CASE-A_3216,C119051,2
10 1%,"R30,R31,R43,R44,R6,R7",R_0402_1005Metric,C138066,6
10n 50V X7R,"C57,C63,C74",C_0402_1005Metric,C15195,3
100p 50V C0G,"C11,C23,C29,C37,C46,C67,C78,C8",C_0402_1005Metric,C1546,8
C1554484-DAC8555IPW,U6,C1554484-TSSOP-16_L5.0-W4.4-P0.65-LS6.4-TL,C1554484,1
C157411-LD29150DT50R,U7,C157411-TO-252-3_L6.5-W5.8-P4.58-BL,C157411,1
6.8uH,L8,C177249-IND-SMD_L5.4-W5.2_FXL0530,C177249,1
C1855802-INA293B2IDBVR,"U21,U25,U3",C1855802-SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C1855802,3
C2071868-AP63200WU-7,"U10,U11",C2071868-SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C2071868,2
C207245-SD15C-01FTG,U5,C207245-SOD-323_L1.7-W1.3-LS2.5-BI-1,C207245,1
22n C0G,"C6,C64,C75",C_0805_2012Metric,C2181592,3
C22461594 - PCF8574AP,U15,C22461594-TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-1,C22461594,1
22uH >0.5A,"L3,L7",L_1812_4532Metric,C22469096,2
C22469958 - 74LVC1GU04,U16,C22469958-SOT-353-5_L2.1-W1.3-P0.65-LS2.3-BL,C22469958,1
100 1%,R9,R_0402_1005Metric,C25076,1
R33_Pack,"RN3,RN4",C25508-RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,C25508,2
C259972-LM1084S-3.3_TR,U20,C259972-TO-263-3_L8.6-W10.2-P2.54-LS14.4-TL,C259972,1
C2653336-74FCT521CTSOG8,U13,C2653336-SOIC127P1032X265-20N,C2653336,1
