Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n 50V X7R,C_0402_1005Metric,117.2,-79.78,-90.0,top
C10,10u 25V X7R,C_0805_2012Metric,90.1875,-65.8,180.0,top
C11,100p 50V C0G,C_0402_1005Metric,63.06,-62.06,-90.0,top
C12,100n 50V X7R,C_0402_1005Metric,61.56,-62.08,-90.0,top
C13,10u 25V X7R,C_0805_2012Metric,62.6,-58.9,90.0,top
C14,15p 50V C0G,C_0402_1005Metric,184.3,-110.52,90.0,top
C15,2200u 35V Alum,C3829879-CAP-SMD_BD16.0-L17.0-W17.0-LS18.0-FD,75.8,-60.6,0.0,top
C16,100u 35V Alum,C2887272-CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD_3,195.40005,-56.149873,180.0,top
C17,100n 50V X7R,C_0402_1005Metric,163.12,-92.1,180.0,top
C18,100n 50V X7R,C_0402_1005Metric,163.12,-93.4,180.0,top
C19,10u 25V X7R,C_0805_2012Metric,162.35,-90.4,180.0,top
C2,10u 25V X7R,C_0805_2012Metric,117.6,-76.95,90.0,top
C20,10u 16V Tant,C119051-CASE-A_3216,162.000102,-95.3,180.0,top
C21,10u 25V X7R,C_0805_2012Metric,162.149949,-109.964999,180.0,top
C22,100n 50V X7R,C_0402_1005Metric,162.669949,-111.864999,180.0,top
C23,100p 50V C0G,C_0402_1005Metric,173.0,-108.0,0.0,top
C24,100n 50V X7R,C_0402_1005Metric,173.0,-109.4,0.0,top
C25,1u 10V X7R,C_0402_1005Metric,173.0,-110.84,0.0,top
C26,1n 50V C0G,C_0402_1005Metric,173.0,-112.2,0.0,top
C27,100n 50V X7R,C_0402_1005Metric,170.12,-116.25,180.0,top
C28,100n 50V X7R,C_0402_1005Metric,162.529949,-104.664999,180.0,top
C29,100p 50V C0G,C_0402_1005Metric,162.529949,-102.764999,180.0,top
C3,10u 25V X7R,C_0805_2012Metric,119.9,-76.95,90.0,top
C30,10u 25V X7R,C_0805_2012Metric,164.8,-103.3,90.0,top
C31,100u 16V Alum,C37308-CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD,170.699949,-103.000127,0.0,top
C32,10u 25V X7R,C_0805_2012Metric,195.1,-62.45,-90.0,top
C33,10u 25V X7R,C_0805_2012Metric,192.09,-62.45,-90.0,top
C34,10u 25V X7R,C_0805_2012Metric,174.35,-56.6,90.0,top
C35,100n 50V X7R,C_0402_1005Metric,176.05,-57.07,90.0,top
C36,100n 50V X7R,C_0402_1005Metric,181.694968,-55.974981,-90.0,top
C37,100p 50V C0G,C_0402_1005Metric,179.194968,-53.954981,180.0,top
C38,22u 16V X7R,C_1206_3216Metric,193.64,-79.655,-90.0,top
C39,22u 16V X7R,C_1206_3216Metric,196.99,-79.655,-90.0,top
C4,2200u 35V Alum,C3829879-CAP-SMD_BD16.0-L17.0-W17.0-LS18.0-FD,130.206655,-80.6,0.0,top
C40,10u 25V X7R,C_0805_2012Metric,181.59,-79.23,-90.0,top
C41,10u 25V X7R,C_0805_2012Metric,196.93,-70.55,-90.0,top
C42,10u 25V X7R,C_0805_2012Metric,193.82,-70.55,-90.0,top
C43,10u 25V X7R,C_0805_2012Metric,181.11,-69.77,-90.0,top
C44,100n 50V X7R,C_0402_1005Metric,182.91,-69.0,-90.0,top
C45,100n 50V X7R,C_0402_1005Metric,174.81,-70.32,90.0,top
C46,100p 50V C0G,C_0402_1005Metric,177.41,-72.52,0.0,top
C47,22u 10V X7R,C_0805_2012Metric,178.48,-82.74,90.0,top
C48,22u 10V X7R,C_0805_2012Metric,174.420102,-78.1,180.0,top
C49,10u 25V X7R,C_0805_2012Metric,166.58,-82.04,90.0,top
C50,100n 50V X7R,C_0402_1005Metric,186.4,-117.0,180.0,top
C51,100n 50V X7R,C_0402_1005Metric,184.7,-117.18,90.0,top
C52,100n 50V X7R,C_0402_1005Metric,174.999745,-122.099898,-90.0,top
C53,1u 10V X7R,C_0402_1005Metric,197.3,-139.4,180.0,top
C54,100n 50V X7R,C_0402_1005Metric,193.0,-113.6,0.0,top
C55,1u 10V X7R,C_0402_1005Metric,186.2,-147.5,0.0,top
C56,1u 10V X7R,C_0402_1005Metric,173.729745,-122.099898,-90.0,top
C57,10n 50V X7R,C_0402_1005Metric,112.4,-72.9,0.0,top
C58,10u 25V X7R,C_0805_2012Metric,195.35,-86.7,180.0,top
C59,100n 50V X7R,C_0402_1005Metric,195.82,-88.7,180.0,top
C6,22n C0G,C_0805_2012Metric,117.0,-86.7,90.0,top
C60,10u 16V Tant,C119051-CASE-A_3216,194.799898,-103.6,180.0,top
C61,100n 50V X7R,C_0402_1005Metric,195.82,-101.7,180.0,top
C63,10n 50V X7R,C_0402_1005Metric,112.82,-101.2,0.0,top
C64,22n C0G,C_0805_2012Metric,117.2,-114.95,90.0,top
C65,3.3u 25V X7R,C_0805_2012Metric,91.7,-107.2,0.0,top
C66,100n 50V X7R,C_0402_1005Metric,117.0,-108.08,-90.0,top
C67,100p 50V C0G,C_0402_1005Metric,88.75,-99.5,180.0,top
C68,10u 25V X7R,C_0805_2012Metric,117.6,-105.2,90.0,top
C69,100n 50V X7R,C_0402_1005Metric,88.77,-100.8,180.0,top
C7,3.3u 25V X7R,C_0805_2012Metric,92.4375,-75.3,0.0,top
C70,10u 25V X7R,C_0805_2012Metric,120.01,-105.2,90.0,top
C71,10u 25V X7R,C_0805_2012Metric,89.55,-97.6,180.0,top
C72,2200u 35V Alum,C3829879-CAP-SMD_BD16.0-L17.0-W17.0-LS18.0-FD,130.206655,-109.0,0.0,top
C74,10n 50V X7R,C_0402_1005Metric,113.828561,-131.124686,0.0,top
C75,22n C0G,C_0805_2012Metric,116.706655,-144.6,90.0,top
C76,3.3u 25V X7R,C_0805_2012Metric,91.150013,-134.697892,0.0,top
C77,100n 50V X7R,C_0402_1005Metric,116.848561,-138.004686,-90.0,top
C78,100p 50V C0G,C_0402_1005Metric,88.02,-128.1,180.0,top
C79,10u 25V X7R,C_0805_2012Metric,119.748561,-135.124686,90.0,top
C8,100p 50V C0G,C_0402_1005Metric,89.3575,-68.9,180.0,top
C80,100n 50V X7R,C_0402_1005Metric,88.02,-126.8,180.0,top
C81,10u 25V X7R,C_0805_2012Metric,117.348561,-135.124686,90.0,top
C82,10u 25V X7R,C_0805_2012Metric,88.85,-125.1,180.0,top
C83,2200u 35V Alum,C3829879-CAP-SMD_BD16.0-L17.0-W17.0-LS18.0-FD,130.206655,-139.0,0.0,top
C9,100n 50V X7R,C_0402_1005Metric,89.3575,-67.6,180.0,top
